Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SampleAPITesting,,,2018-12-31 12:08:37,2018-12-31 12:08:52,14.861s,FAILED
,,,,,,
Test Cases/UserRestTest/UserData,,,2018-12-31 12:08:38,2018-12-31 12:08:43,5.726s,PASSED
"restresponse = sendRequestAndVerify(findTestObject(""UserRestService/ListUsers""))",,,2018-12-31 12:08:38,2018-12-31 12:08:43,4.567s,PASSED
"verifyResponseStatusCode(restresponse, 200)",,,2018-12-31 12:08:43,2018-12-31 12:08:43,0.432s,PASSED
"verifyElementPropertyValue(restresponse, ""data[2].first_name"", ""Tracey"")",,,2018-12-31 12:08:43,2018-12-31 12:08:43,0.104s,PASSED
slurper = new groovy.json.JsonSlurper(),,,2018-12-31 12:08:43,2018-12-31 12:08:43,0.004s,PASSED
result = slurper.parseText(restresponse.getResponseBodyContent()),,,2018-12-31 12:08:43,2018-12-31 12:08:43,0.023s,PASSED
UserName = first_name,,,2018-12-31 12:08:43,2018-12-31 12:08:43,0.016s,PASSED
"println(""Username is:"" + UserName)",,,2018-12-31 12:08:43,2018-12-31 12:08:43,0.004s,PASSED
,,,,,,
Test Cases/UserRestTest/UserPostData,,,2018-12-31 12:08:43,2018-12-31 12:08:45,1.695s,PASSED
"postresponse = sendRequest(findTestObject(""UserRestService/PostUserData""))",,,2018-12-31 12:08:44,2018-12-31 12:08:45,1.339s,PASSED
"verifyElementPropertyValue(postresponse, ""name"", ""Tracey"")",,,2018-12-31 12:08:45,2018-12-31 12:08:45,0.029s,PASSED
slurper = new groovy.json.JsonSlurper(),,,2018-12-31 12:08:45,2018-12-31 12:08:45,0.004s,PASSED
result = slurper.parseText(postresponse.getResponseBodyContent()),,,2018-12-31 12:08:45,2018-12-31 12:08:45,0.004s,PASSED
a = id,,,2018-12-31 12:08:45,2018-12-31 12:08:45,0.004s,PASSED
"println(""Random id value is:"" + a)",,,2018-12-31 12:08:45,2018-12-31 12:08:45,0.000s,PASSED
,,,,,,
Test Cases/CalculatorTests/Addition,,,2018-12-31 12:08:45,2018-12-31 12:08:47,2.178s,PASSED
"soapresponse = sendRequestAndVerify(findTestObject(""CalculatorSoapServices/Addition""))",,,2018-12-31 12:08:45,2018-12-31 12:08:47,2.022s,PASSED
"verifyResponseStatusCode(soapresponse, 200)",,,2018-12-31 12:08:47,2018-12-31 12:08:47,0.000s,PASSED
,,,,,,
Test Cases/CountrySOAPService/CountryServices,,,2018-12-31 12:08:47,2018-12-31 12:08:52,4.664s,FAILED
"CountryList = sendRequest(findTestObject(""CountrySoapServices/CountryListByNames""))",,,2018-12-31 12:08:47,2018-12-31 12:08:50,2.130s,PASSED
"verifyElementText(CountryList, ""ListOfCountryNamesByNameResponse.ListOfCountryNamesByNameResult.tCountryCodeAndName[98].sISOCode"", ""IN"")",,,2018-12-31 12:08:50,2018-12-31 12:08:50,0.443s,PASSED
xml1 = responseBodyContent,,,2018-12-31 12:08:50,2018-12-31 12:08:50,0.112s,PASSED
datavalue = XmlSlurper().parseText(xml1),,,2018-12-31 12:08:50,2018-12-31 12:08:50,0.005s,PASSED
countryCode = sISOCode.text(),,,2018-12-31 12:08:50,2018-12-31 12:08:50,0.012s,PASSED
CountryISOCode = countryCode,,,2018-12-31 12:08:50,2018-12-31 12:08:50,0.004s,PASSED
"println(""Country ISO code is: "" + CountryISOCode)",,,2018-12-31 12:08:50,2018-12-31 12:08:50,0.004s,PASSED
"CountryCurrency = sendRequest(findTestObject(""CountrySoapServices/CountryCurrency""))",,,2018-12-31 12:08:50,2018-12-31 12:08:52,1.630s,PASSED
"verifyElementText(CountryCurrency, ""CountryCurrencyResponse.CountryCurrencyResult.sISOCode"", ""INR"")",,,2018-12-31 12:08:52,2018-12-31 12:08:52,0.037s,FAILED
